Index,Hogwarts House,Proba,Second House,Second Proba
37,Hufflepuff,0.8261454647143718,Ravenclaw,0.4459349314761459
38,Slytherin,0.9820010106308605,Hufflepuff,0.35475293065117147
39,Gryffindor,0.9554925529251908,Hufflepuff,0.5543244387778306
40,Gryffindor,0.9858041201500344,Hufflepuff,0.3100808105384924
41,Hufflepuff,0.7958577232349726,Gryffindor,0.4727068299995373
42,Ravenclaw,0.9689430048117603,Slytherin,0.5704647749019631
43,Hufflepuff,0.8737575092889204,Slytherin,0.5316885064066826
44,Hufflepuff,0.8808789545400547,Slytherin,0.3852299840609485
45,Ravenclaw,0.9893767064834325,Slytherin,0.2836581083674384
46,Ravenclaw,0.9426422269440287,Slytherin,0.47560655772729765
47,Hufflepuff,0.9238992096166051,Slytherin,0.37011646008365706
48,Slytherin,0.9715952070439758,Gryffindor,0.4880127847947835
49,Gryffindor,0.986391470944829,Hufflepuff,0.4149852359194977
50,Gryffindor,0.9804206791540161,Hufflepuff,0.31792866783045853
51,Slytherin,0.9821336917652753,Hufflepuff,0.35298708904619014
52,Slytherin,0.9624943079929944,Ravenclaw,0.32609603057755243
53,Ravenclaw,0.9812093008438617,Slytherin,0.34749964764925634
54,Gryffindor,0.986219162110725,Hufflepuff,0.3153807091449237
55,Slytherin,0.918751806218873,Hufflepuff,0.45987992072647155
56,Hufflepuff,0.8356926149981085,Gryffindor,0.5517266179871321
57,Slytherin,0.9500355715077027,Gryffindor,0.38846151344315805
58,Hufflepuff,0.9199381977085269,Gryffindor,0.428690681400883
59,Gryffindor,0.9626998778659472,Hufflepuff,0.47597771807489225
60,Slytherin,0.9740465430184525,Gryffindor,0.37641656541840757
61,Ravenclaw,0.9838616776295911,Slytherin,0.2888525054405177
62,Hufflepuff,0.9311705654235358,Slytherin,0.39164658480999426
63,Hufflepuff,0.8582647914405721,Slytherin,0.4490860176235238
64,Hufflepuff,0.7916118057459773,Gryffindor,0.37017822075081797
65,Hufflepuff,0.9154610824278709,Slytherin,0.3251006547262031
66,Hufflepuff,0.8574564920698757,Ravenclaw,0.40032279728759035
67,Ravenclaw,0.9653457158520057,Slytherin,0.5472749741867255
68,Gryffindor,0.9902378952161691,Hufflepuff,0.3275541533541998
69,Hufflepuff,0.9338333466320637,Slytherin,0.4095574392659301
70,Ravenclaw,0.9690310952437009,Hufflepuff,0.34949288333599376
71,Slytherin,0.92372649197157,Gryffindor,0.49745730119484205
72,Slytherin,0.9629359562874035,Gryffindor,0.347622232353308
73,Hufflepuff,0.8535295615569968,Gryffindor,0.5367020176611166
74,Ravenclaw,0.9736935929285442,Hufflepuff,0.36273818731957946
75,Hufflepuff,0.8650755840401417,Slytherin,0.33935245115349805
76,Ravenclaw,0.9848764468486216,Slytherin,0.40809919138793377
77,Ravenclaw,0.9763747920812227,Gryffindor,0.2748219032199944
78,Hufflepuff,0.8636414183983615,Slytherin,0.4367560072103133
79,Hufflepuff,0.8460681513464596,Slytherin,0.3288912712609128
80,Hufflepuff,0.8927470158086763,Slytherin,0.3697755886026514
81,Slytherin,0.9468072279254798,Hufflepuff,0.6713047847866892
82,Slytherin,0.9807586579642612,Hufflepuff,0.3761250262094389
83,Gryffindor,0.9721241388216353,Ravenclaw,0.36970698043080163
84,Hufflepuff,0.9229638620635371,Slytherin,0.30399455007372833
85,Hufflepuff,0.7996437324308951,Gryffindor,0.36415090639744147
86,Hufflepuff,0.8645741367760046,Gryffindor,0.5820734518572824
87,Hufflepuff,0.9376805515079119,Gryffindor,0.3622181524537954
88,Hufflepuff,0.8831877338396298,Gryffindor,0.43044447527976465
89,Gryffindor,0.9880309821870176,Ravenclaw,0.4164487808516379
90,Gryffindor,0.9906705843310019,Hufflepuff,0.2720675380044126
91,Gryffindor,0.9566694240303452,Ravenclaw,0.4907673348641834
92,Ravenclaw,0.9691890130033579,Slytherin,0.3267755888594808
93,Hufflepuff,0.769985202694002,Slytherin,0.5243234347564664
94,Hufflepuff,0.8450579333076471,Gryffindor,0.37392674353683786
95,Hufflepuff,0.9631010453199251,Slytherin,0.30824725777198
96,Gryffindor,0.9853774451815182,Hufflepuff,0.3313527158064288
97,Ravenclaw,0.9740370763788717,Slytherin,0.40515106677828616
98,Slytherin,0.9557269849822689,Ravenclaw,0.4075388386924038
99,Hufflepuff,0.8716628843643802,Slytherin,0.4444631983241171
100,Gryffindor,0.9800063145554064,Hufflepuff,0.43916996449447687
101,Hufflepuff,0.902722467422122,Gryffindor,0.35896631141599117
102,Ravenclaw,0.9765929406226079,Slytherin,0.5120210223526607
103,Hufflepuff,0.9289445223559731,Slytherin,0.262512943487919
104,Ravenclaw,0.9815647344691074,Slytherin,0.27019601981757696
105,Gryffindor,0.9741105205952088,Hufflepuff,0.3978954662362081
106,Slytherin,0.9728459817410238,Hufflepuff,0.4201617714565354
107,Gryffindor,0.9069344696048436,Slytherin,0.3796279504040281
108,Hufflepuff,0.850714873913307,Slytherin,0.4046099660393858
109,Slytherin,0.974408796349723,Hufflepuff,0.4256971711196894
110,Slytherin,0.9814652267357613,Hufflepuff,0.3577315936284119
111,Ravenclaw,0.9811317829909705,Slytherin,0.50622970646189
112,Ravenclaw,0.930288075051996,Slytherin,0.556543873965351
113,Ravenclaw,0.9621299247041285,Slytherin,0.43037016091466507
114,Ravenclaw,0.9740221432081151,Slytherin,0.4940982369843226
115,Gryffindor,0.9812726108531115,Hufflepuff,0.4255089954573071
116,Ravenclaw,0.9564728025353384,Slytherin,0.56075115053558
117,Slytherin,0.9810582679113969,Hufflepuff,0.3767761545766697
118,Hufflepuff,0.9370610341809168,Gryffindor,0.2873908509152751
119,Hufflepuff,0.9035706432732846,Ravenclaw,0.3387183656732499
120,Ravenclaw,0.9887370482441096,Slytherin,0.40073508899303784
121,Slytherin,0.9618636182847271,Hufflepuff,0.39905594828072916
122,Ravenclaw,0.945813098470001,Slytherin,0.44026620277278783
123,Hufflepuff,0.7395281649546137,Slytherin,0.5058578355006912
124,Hufflepuff,0.9335596774370011,Slytherin,0.460664024144077
125,Slytherin,0.9697067098408021,Hufflepuff,0.36720342385816684
126,Hufflepuff,0.7156992658212588,Gryffindor,0.523046713253569
127,Slytherin,0.9656137331479024,Gryffindor,0.32914164239003085
128,Slytherin,0.8075236146550765,Ravenclaw,0.49849427555455
129,Hufflepuff,0.9310557860282971,Gryffindor,0.4072122077442215
130,Slytherin,0.9391120376983059,Gryffindor,0.47403107207246953
131,Gryffindor,0.9786894005736306,Hufflepuff,0.37862905370582406
132,Slytherin,0.9809831478222606,Hufflepuff,0.45788688556246643
133,Hufflepuff,0.9397996369537496,Slytherin,0.4943237594541446
134,Ravenclaw,0.9399931860267939,Slytherin,0.28801727758239065
135,Ravenclaw,0.9668820574223114,Slytherin,0.3456505312096806
136,Ravenclaw,0.978508946325803,Slytherin,0.47800680312069643
137,Ravenclaw,0.9653617426239645,Slytherin,0.5276313870552759
138,Hufflepuff,0.8296185703893119,Gryffindor,0.3397088556675577
139,Gryffindor,0.9896775627917553,Hufflepuff,0.4459247589437459
140,Gryffindor,0.9894283571700239,Hufflepuff,0.23492276461244738
141,Ravenclaw,0.9760959199046514,Slytherin,0.49210908836112677
142,Gryffindor,0.985197205238016,Hufflepuff,0.29161220560442497
143,Hufflepuff,0.8395735341093457,Slytherin,0.3819433289323467
144,Gryffindor,0.9850590653670314,Hufflepuff,0.40161855786323336
145,Gryffindor,0.9558450715217595,Hufflepuff,0.5924525873148835
146,Slytherin,0.9688506843772459,Hufflepuff,0.38738641628374776
147,Gryffindor,0.9764547388610443,Ravenclaw,0.35264729844010395
148,Gryffindor,0.9850418661846516,Hufflepuff,0.23607372556642575
149,Gryffindor,0.9933021272492615,Hufflepuff,0.38955554843487417
150,Ravenclaw,0.9658373807675751,Slytherin,0.4433963665657749
151,Gryffindor,0.9840342407839249,Hufflepuff,0.43111984463285263
152,Gryffindor,0.9877214425916517,Hufflepuff,0.5629232487102662
153,Slytherin,0.9420545173884798,Ravenclaw,0.3597297162384069
154,Slytherin,0.9828388983447488,Hufflepuff,0.4651158164528147
155,Hufflepuff,0.923947433661868,Slytherin,0.49990874214492326
156,Gryffindor,0.9813887409336486,Hufflepuff,0.4495496769117344
157,Hufflepuff,0.9088160398844829,Ravenclaw,0.3319771571314301
158,Ravenclaw,0.9729028532522748,Slytherin,0.34975657064363763
159,Ravenclaw,0.9835114089928456,Slytherin,0.38991327283082794
160,Hufflepuff,0.8831894617538084,Ravenclaw,0.3559657271585447
161,Hufflepuff,0.9007335398606962,Slytherin,0.5421318339195826
162,Hufflepuff,0.9095316775345155,Ravenclaw,0.3857754594135125
163,Slytherin,0.9544537645263789,Gryffindor,0.4686488016193601
164,Ravenclaw,0.928942725850035,Slytherin,0.3735819367379735
165,Hufflepuff,0.9129010348832584,Gryffindor,0.42649175653650573
166,Hufflepuff,0.7805316731807963,Gryffindor,0.4301096469296584
167,Hufflepuff,0.9326975398220078,Ravenclaw,0.29637105747682396
168,Slytherin,0.9481826385406446,Gryffindor,0.5562357625341526
169,Gryffindor,0.9569025806859762,Ravenclaw,0.3938345509463846
170,Ravenclaw,0.9745883326657004,Slytherin,0.3451435069712216
171,Gryffindor,0.9826842157931889,Hufflepuff,0.2896656670174627
172,Gryffindor,0.9345870993202193,Ravenclaw,0.49002419068188924
173,Ravenclaw,0.97847233887292,Slytherin,0.45557489867972684
174,Hufflepuff,0.9174408811375067,Slytherin,0.3082823815285128
175,Gryffindor,0.9786408180066852,Hufflepuff,0.3737495727609475
176,Ravenclaw,0.9647555504747076,Slytherin,0.6035076613551714
177,Hufflepuff,0.9064795385422262,Slytherin,0.30573380498552116
178,Ravenclaw,0.976216684978692,Slytherin,0.423326101435889
179,Ravenclaw,0.9724520463287173,Slytherin,0.4361136934757464
180,Slytherin,0.9545083732315222,Gryffindor,0.6008258097557163
181,Hufflepuff,0.8975640857727508,Gryffindor,0.5682378940936665
182,Ravenclaw,0.9516751804452026,Slytherin,0.3098297989303577
183,Slytherin,0.9142462056390689,Gryffindor,0.5831280118171295
184,Slytherin,0.9777403721645418,Hufflepuff,0.4396640845238947
185,Hufflepuff,0.8642214527097966,Gryffindor,0.4668670413188894
186,Hufflepuff,0.929454215980839,Slytherin,0.2862164938498009
187,Slytherin,0.9307347906843136,Ravenclaw,0.4308768426060472
188,Hufflepuff,0.8040055834709049,Ravenclaw,0.40093303840150507
189,Gryffindor,0.9620583803345955,Hufflepuff,0.5469863962129178
190,Slytherin,0.9440795288488175,Hufflepuff,0.4260364721104203
191,Hufflepuff,0.906874490715734,Slytherin,0.328868578848943
192,Ravenclaw,0.9837263130671835,Slytherin,0.40800009655769975
193,Hufflepuff,0.9397457359008844,Slytherin,0.2980293084070756
194,Slytherin,0.9653962057360568,Ravenclaw,0.43714869058711825
195,Hufflepuff,0.8897569346419927,Gryffindor,0.5131906889598306
196,Hufflepuff,0.9314623112532286,Gryffindor,0.6550087781617807
197,Ravenclaw,0.9825437671160545,Slytherin,0.4398978983379793
198,Gryffindor,0.9905878079408136,Slytherin,0.3976832685061061
199,Slytherin,0.9509141804357538,Ravenclaw,0.4619842553419179
200,Hufflepuff,0.886500041697374,Gryffindor,0.4341286176342244
201,Gryffindor,0.9890138694545336,Slytherin,0.4375200027594325
202,Ravenclaw,0.9659114541166084,Slytherin,0.4877963457959632
203,Ravenclaw,0.9751704013414363,Slytherin,0.3932819133766919
204,Gryffindor,0.9941883912053082,Hufflepuff,0.29476201445671046
205,Hufflepuff,0.8700985950438154,Slytherin,0.3363995594922623
206,Gryffindor,0.9890453782393975,Hufflepuff,0.3608932251086094
207,Hufflepuff,0.9366960325064535,Gryffindor,0.2721548497205363
208,Hufflepuff,0.9163624072883745,Slytherin,0.37422526541264556
209,Ravenclaw,0.9563349620767174,Slytherin,0.5520957908214744
210,Hufflepuff,0.8103208229815237,Slytherin,0.4118185773442039
211,Gryffindor,0.9933281617358821,Hufflepuff,0.4432910195206743
212,Slytherin,0.930520205672595,Ravenclaw,0.6698920961689445
213,Slytherin,0.952135445908659,Hufflepuff,0.613182660883057
214,Ravenclaw,0.9732204617009221,Slytherin,0.42642960323290535
215,Hufflepuff,0.6532331188948528,Slytherin,0.5112213975512403
216,Gryffindor,0.9900686723288138,Hufflepuff,0.49562992609562767
217,Ravenclaw,0.983610332884751,Slytherin,0.292707535482225
218,Gryffindor,0.9935946034825037,Hufflepuff,0.2927004901164559
219,Gryffindor,0.9874659838119761,Hufflepuff,0.5040375880775768
220,Hufflepuff,0.8506258978761643,Gryffindor,0.6234454558184982
221,Hufflepuff,0.9068172616320606,Gryffindor,0.30967767869594137
222,Gryffindor,0.9773055899920153,Hufflepuff,0.3996617940353025
223,Slytherin,0.9508674142662975,Ravenclaw,0.5094040503672161
224,Gryffindor,0.9711770818271307,Hufflepuff,0.3694031995458428
225,Ravenclaw,0.9847217163499132,Slytherin,0.3868477917915938
226,Hufflepuff,0.8693487168348454,Ravenclaw,0.45767038488392725
227,Gryffindor,0.9672547590410413,Ravenclaw,0.32840641372830465
228,Hufflepuff,0.8531842518789391,Slytherin,0.4272257760225643
229,Hufflepuff,0.9478831596021746,Slytherin,0.28295978893070767
230,Hufflepuff,0.9187872195613076,Slytherin,0.2720820120681261
231,Gryffindor,0.9618095765441889,Hufflepuff,0.3445578597804676
232,Hufflepuff,0.8874001588775597,Gryffindor,0.4040381449555389
233,Ravenclaw,0.9800965763367884,Slytherin,0.2838375946362207
234,Hufflepuff,0.7505793864432818,Slytherin,0.5823588233395514
235,Hufflepuff,0.8726220753138777,Slytherin,0.32243360352344885
236,Slytherin,0.9576625955242185,Hufflepuff,0.4074555539109416
237,Ravenclaw,0.9491933338842915,Slytherin,0.3574905018522723
238,Hufflepuff,0.9225283924685116,Ravenclaw,0.27871864119701956
239,Hufflepuff,0.9058585028372725,Gryffindor,0.30155979150260875
240,Hufflepuff,0.8511179283668567,Gryffindor,0.47118454177246005
241,Gryffindor,0.9737746713727032,Ravenclaw,0.3217959753455375
242,Hufflepuff,0.9326791374370648,Slytherin,0.28501126075500544
243,Hufflepuff,0.8300072494987185,Slytherin,0.5229603020567212
244,Hufflepuff,0.8720394437993588,Ravenclaw,0.3985715092679488
245,Hufflepuff,0.8451424586696663,Slytherin,0.43313918715041166
246,Gryffindor,0.9698064668047173,Hufflepuff,0.44898795238390105
247,Hufflepuff,0.9471990583898161,Slytherin,0.49954588212126966
248,Gryffindor,0.989276201683116,Hufflepuff,0.3441436030268541
249,Ravenclaw,0.9854832761535831,Slytherin,0.28937966721571495
250,Ravenclaw,0.9706900162953553,Slytherin,0.44277216699742944
251,Slytherin,0.9556895799492806,Gryffindor,0.6037914610556602
252,Slytherin,0.9220516161278395,Ravenclaw,0.45409469884428566
253,Gryffindor,0.9861305846053305,Hufflepuff,0.348676056550931
254,Hufflepuff,0.8999721994471734,Slytherin,0.42343205184396404
255,Ravenclaw,0.9852787350463577,Hufflepuff,0.32667406909435653
256,Ravenclaw,0.9764646609846535,Slytherin,0.33730281806947665
257,Slytherin,0.9447807240718564,Hufflepuff,0.3664824785632435
258,Gryffindor,0.9406634695641979,Hufflepuff,0.4798162985173952
259,Ravenclaw,0.9697046624707927,Slytherin,0.3210697135963032
260,Slytherin,0.9392975896398384,Ravenclaw,0.4607411844747711
261,Hufflepuff,0.9237258809832439,Ravenclaw,0.27842152278078197
262,Ravenclaw,0.9734994051517782,Slytherin,0.4387784695373471
263,Gryffindor,0.9895140907212008,Ravenclaw,0.3044376644001886
264,Slytherin,0.9582260989821514,Hufflepuff,0.45082909480778754
265,Slytherin,0.9681106228300141,Gryffindor,0.43666894819025853
266,Slytherin,0.9278508566954023,Ravenclaw,0.5675459814441903
267,Ravenclaw,0.9857453596877495,Slytherin,0.46866698275944935
268,Hufflepuff,0.8616592276657947,Gryffindor,0.37927224869732534
269,Ravenclaw,0.9828372920422215,Slytherin,0.5216143990897641
270,Gryffindor,0.9767544466420808,Hufflepuff,0.35567245368440364
271,Ravenclaw,0.9800751900516967,Slytherin,0.4557561408572566
272,Hufflepuff,0.8964448464836872,Slytherin,0.39694916127163077
273,Hufflepuff,0.8187833591494045,Slytherin,0.46051359729253205
274,Ravenclaw,0.9217354060552893,Slytherin,0.5280505734519476
275,Ravenclaw,0.951398591306936,Slytherin,0.5835375465005408
276,Ravenclaw,0.959378305629632,Hufflepuff,0.354166852156771
277,Hufflepuff,0.8519881244637408,Gryffindor,0.5604940657408299
278,Hufflepuff,0.925447468715081,Gryffindor,0.357207339621046
279,Gryffindor,0.9887483053165627,Hufflepuff,0.3430118153968722
280,Hufflepuff,0.9156894843147242,Gryffindor,0.3198308423279632
281,Ravenclaw,0.9818448924570425,Slytherin,0.33063641929598153
282,Hufflepuff,0.9228074581329744,Slytherin,0.3464924535554672
283,Hufflepuff,0.906438860889394,Slytherin,0.3450530861264976
284,Ravenclaw,0.978649644471668,Slytherin,0.2615594268395971
285,Ravenclaw,0.9738766582660856,Slytherin,0.7712168800007535
286,Gryffindor,0.9900022854213482,Hufflepuff,0.37771861833127207
287,Hufflepuff,0.9241354019745383,Slytherin,0.34818292554914065
288,Hufflepuff,0.9050117659796867,Gryffindor,0.4111798079775262
289,Gryffindor,0.9817747966394977,Hufflepuff,0.479127726847408
290,Gryffindor,0.9937219969567124,Hufflepuff,0.3646746720396223
291,Hufflepuff,0.8456469670531644,Slytherin,0.37557776306943474
292,Hufflepuff,0.9063375223678422,Slytherin,0.2836740699169768
293,Hufflepuff,0.7875361955678877,Ravenclaw,0.4922228291770047
294,Gryffindor,0.9748671022802935,Hufflepuff,0.6029683137874776
295,Gryffindor,0.9917791219796951,Slytherin,0.3233824182813283
296,Hufflepuff,0.8779130587297914,Gryffindor,0.46389871480686273
297,Gryffindor,0.9877925792930193,Hufflepuff,0.3136571129564371
298,Ravenclaw,0.9699015248525164,Slytherin,0.35607243233779506
299,Hufflepuff,0.7981082289191673,Gryffindor,0.4056838766985336
300,Gryffindor,0.9725204161363276,Hufflepuff,0.30646531491877044
301,Hufflepuff,0.9074978737953256,Ravenclaw,0.2662367870178285
302,Slytherin,0.9476818716612632,Hufflepuff,0.3369188569985339
303,Hufflepuff,0.9355570356429971,Gryffindor,0.2860275722550318
304,Hufflepuff,0.9080658085993246,Slytherin,0.2656102591479706
305,Gryffindor,0.9742218486103487,Hufflepuff,0.5612744911664513
306,Slytherin,0.9739722553615661,Hufflepuff,0.34429908120696945
307,Ravenclaw,0.9763391131871229,Slytherin,0.6302614465082323
308,Hufflepuff,0.971732808869376,Gryffindor,0.29020530346988505
309,Slytherin,0.9630587593661777,Ravenclaw,0.3347261571487466
310,Ravenclaw,0.973912618647362,Slytherin,0.45178911827735113
311,Hufflepuff,0.9384469137182555,Slytherin,0.30432459029686193
312,Slytherin,0.9821777088204188,Hufflepuff,0.3712386282016006
313,Hufflepuff,0.8827067095245315,Gryffindor,0.6770461944064717
314,Gryffindor,0.9722860215043044,Slytherin,0.3395996503071818
315,Gryffindor,0.995350444381108,Hufflepuff,0.46553445167702767
316,Ravenclaw,0.9694129767173653,Slytherin,0.44381792120774116
317,Slytherin,0.978877243508644,Hufflepuff,0.4439345014506073
318,Slytherin,0.9223511892201468,Gryffindor,0.5493636077048147
319,Hufflepuff,0.8832895949524405,Slytherin,0.39425584217830717
320,Hufflepuff,0.8596446558043026,Gryffindor,0.5271177839837107
321,Slytherin,0.9619105822020663,Hufflepuff,0.4356563378350354
322,Slytherin,0.9159412926950529,Gryffindor,0.5266323591666107
323,Gryffindor,0.9419190943628459,Hufflepuff,0.5888187405589139
324,Hufflepuff,0.9358749406821028,Slytherin,0.2768620395723771
325,Ravenclaw,0.973632704723624,Slytherin,0.3332995305535765
326,Ravenclaw,0.97743097288256,Slytherin,0.5107648134884724
327,Slytherin,0.939447116274519,Gryffindor,0.42857311460168024
328,Gryffindor,0.9584047570285282,Hufflepuff,0.36167276774450824
329,Ravenclaw,0.9679377199062699,Slytherin,0.36565879257189227
330,Slytherin,0.9513354370795547,Ravenclaw,0.4439781808008819
331,Hufflepuff,0.8726996187142847,Gryffindor,0.4585299920462834
332,Hufflepuff,0.8835049555782053,Slytherin,0.4497781190097758
333,Hufflepuff,0.7402141265569766,Ravenclaw,0.4475225101095882
334,Ravenclaw,0.9601460528216585,Slytherin,0.5128247758291284
335,Ravenclaw,0.9860883191072809,Slytherin,0.39311586557775036
336,Slytherin,0.9523127047237535,Gryffindor,0.7494286557990062
337,Ravenclaw,0.984165338753115,Slytherin,0.3933385297476146
338,Gryffindor,0.9639439858730503,Hufflepuff,0.4536617047987201
339,Hufflepuff,0.9213741777384106,Gryffindor,0.346461507196977
340,Slytherin,0.9235874122581733,Ravenclaw,0.5724912119149738
341,Slytherin,0.8199189463706981,Ravenclaw,0.46968479041806827
342,Ravenclaw,0.9747044965937561,Slytherin,0.4049930657381502
343,Hufflepuff,0.7788127153793409,Slytherin,0.43579042469395324
344,Slytherin,0.9501854323106044,Hufflepuff,0.4776816899377242
345,Ravenclaw,0.9627809955451195,Slytherin,0.46743042626861414
346,Slytherin,0.9275534233002007,Gryffindor,0.38771572129172877
347,Ravenclaw,0.9854728339204494,Slytherin,0.3976716091043381
348,Hufflepuff,0.8176505590423087,Slytherin,0.46656760492604443
349,Hufflepuff,0.8469002418388527,Ravenclaw,0.4037305289163867
350,Gryffindor,0.9614445050089522,Hufflepuff,0.3042316013637186
351,Ravenclaw,0.9702536855709603,Slytherin,0.4462309764572346
352,Gryffindor,0.9824240650632885,Hufflepuff,0.3381989151960866
353,Gryffindor,0.9872972976021952,Ravenclaw,0.2567064524266501
354,Hufflepuff,0.8429564842018654,Slytherin,0.43397972635346554
355,Gryffindor,0.9868966006528352,Hufflepuff,0.2923119142223339
356,Slytherin,0.9752902419732143,Hufflepuff,0.4186424001392705
357,Hufflepuff,0.9001899050004071,Ravenclaw,0.3213167656291686
358,Ravenclaw,0.9714161321616511,Slytherin,0.5634849824433704
359,Gryffindor,0.9914734840783771,Hufflepuff,0.3125656598568477
360,Hufflepuff,0.9252572117009078,Gryffindor,0.3025169238064365
361,Hufflepuff,0.9304144494222195,Gryffindor,0.26106928923391626
362,Ravenclaw,0.9754309466303079,Slytherin,0.36939333807317515
363,Ravenclaw,0.9778497299933019,Slytherin,0.4316165304137545
364,Slytherin,0.9311309545975445,Ravenclaw,0.5146489650279458
365,Ravenclaw,0.9674346847324946,Hufflepuff,0.3189543311302215
366,Slytherin,0.9691654083592504,Gryffindor,0.39987870974492545
367,Hufflepuff,0.827671084059319,Gryffindor,0.5433991796799438
368,Slytherin,0.7990327584285751,Ravenclaw,0.5925887444304712
369,Hufflepuff,0.9452582019132376,Gryffindor,0.3573740345744998
370,Ravenclaw,0.9734646933674634,Slytherin,0.4286054086874427
371,Hufflepuff,0.7887225221841274,Gryffindor,0.3499263257906316
372,Hufflepuff,0.9343595033938588,Gryffindor,0.35296222933035404
373,Hufflepuff,0.8683494598484897,Slytherin,0.36436633683159303
374,Hufflepuff,0.9022075207457161,Slytherin,0.3132299029808088
375,Ravenclaw,0.9181841172739087,Slytherin,0.3990095952904947
376,Ravenclaw,0.9632941964794935,Slytherin,0.4646009361589718
377,Hufflepuff,0.9384315811093995,Gryffindor,0.37298312484023904
378,Slytherin,0.9627124297228077,Hufflepuff,0.4622969010142444
379,Ravenclaw,0.973146550782613,Slytherin,0.33517638731669214
380,Hufflepuff,0.9603379205250562,Slytherin,0.4180758154469297
381,Gryffindor,0.9687298262701414,Hufflepuff,0.4331980566608528
382,Slytherin,0.9427761905049314,Ravenclaw,0.5171192976781593
383,Hufflepuff,0.9479006966786724,Slytherin,0.23567079552655376
384,Gryffindor,0.9941316934450591,Hufflepuff,0.45478463192911883
385,Hufflepuff,0.8120690057451835,Slytherin,0.43444158491651835
386,Ravenclaw,0.9670435531762915,Slytherin,0.2914835502489823
387,Hufflepuff,0.9432619649507398,Slytherin,0.31409133581308335
388,Ravenclaw,0.9602856738527344,Slytherin,0.5827159468663695
389,Hufflepuff,0.9107313505644308,Ravenclaw,0.2457398397361281
390,Hufflepuff,0.9129959931159158,Slytherin,0.3034858953690718
391,Slytherin,0.9493300094082574,Hufflepuff,0.3710324595517688
392,Hufflepuff,0.8770461051309276,Gryffindor,0.310377501039229
393,Hufflepuff,0.9383588942476553,Slytherin,0.22659475007971663
394,Ravenclaw,0.9792693925215025,Slytherin,0.29507944978545836
395,Ravenclaw,0.9673984087863218,Hufflepuff,0.2984998484184233
396,Gryffindor,0.9959483352579851,Hufflepuff,0.37210637253601486
397,Slytherin,0.9726551509660853,Hufflepuff,0.42205240177988684
398,Ravenclaw,0.9823933824310669,Slytherin,0.3301409014428407
399,Gryffindor,0.9727886386718688,Hufflepuff,0.4586715575834827
400,Ravenclaw,0.9601692580393856,Slytherin,0.5441357702393701
401,Hufflepuff,0.9578374004412256,Slytherin,0.2639265910229111
402,Slytherin,0.9603739309072337,Ravenclaw,0.3119219943431919
403,Hufflepuff,0.9134181126424495,Ravenclaw,0.32276488019765937
404,Ravenclaw,0.9885757644077691,Slytherin,0.38510402590346193
405,Hufflepuff,0.935260822626301,Gryffindor,0.37219613851475497
406,Slytherin,0.7874853285451026,Ravenclaw,0.5558529179971898
